YYYY-MM-DD,HH:MM (LST),Zenith (deg),Azimuth (deg),ETR (Wh/m^2),ETRN (Wh/m^2),SUNY Glo (Wh/m^2),SUNY Glo Flg,SUNY Glo Unc (%),SUNY Dir (Wh/m^2),SUNY Dir Flg,SUNY Dir Unc (%),SUNY Dif (Wh/m^2),SUNY Dif Flg,SUNY Dif Unc (%),METSTAT Glo (Wh/m^2),METSTAT Glo Unc (%),METSTAT Dir (Wh/m^2),METSTAT Dir Unc (%),METSTAT Dif (Wh/m^2),METSTAT Dif Unc (%),METSTAT CSKY Glo (Wh/m^2),METSTAT CSKY Glo Unc (%),METSTAT CSKY Dir (Wh/m^2),METSTAT CSKY Dir Unc (%),METSTAT CSKY Dif (Wh/m^2),METSTAT CSKY Dif Unc (%),Meas Glo (Wh/m^2),Meas Glo Flg,Meas Dir (Wh/m^2),Meas Dir Flg,Meas Dif (Wh/m^2),Meas Dif Flg,Precip Wat (cm),Precip Wat Flg,AOD (unitless),AOD Flg,AOD RAN (unitless), AOD RAN Flg,Ozone (cm),Ozone Flg,Albedo (unitless),Albedo Flg
2010-01-01,1:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.6,51,0.054,1,0.054,1,0.417,2,0.24,0
2010-01-01,2:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.7,51,0.054,1,0.054,1,0.418,51,0.24,0
2010-01-01,3:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.7,3,0.054,1,0.054,1,0.418,51,0.24,0
2010-01-01,4:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.7,51,0.054,1,0.054,1,0.419,51,0.24,0
2010-01-01,5:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.6,51,0.054,1,0.054,1,0.420,51,0.24,0
2010-01-01,6:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.6,3,0.054,1,0.054,1,0.420,51,0.24,0
2010-01-01,7:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.6,51,0.054,1,0.054,1,0.421,51,0.24,0
2010-01-01,8:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.5,51,0.054,1,0.054,1,0.421,51,0.24,0
2010-01-01,9:00,88.4,136.3,24,861,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,9,25,225,28,3,25,9,10,225,16,3,10,-9900,99,-9900,99,-9900,99,0.5,3,0.054,1,0.023,1,0.422,51,0.24,0
2010-01-01,10:00,84.4,146.6,139,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,69,25,528,28,17,25,69,10,528,16,17,10,-9900,99,-9900,99,-9900,99,0.4,51,0.054,1,0.023,1,0.423,51,0.24,0
2010-01-01,11:00,80.6,160.0,230,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,132,25,669,28,23,25,132,10,669,16,23,10,-9900,99,-9900,99,-9900,99,0.4,51,0.054,1,0.023,1,0.423,51,0.24,0
2010-01-01,12:00,78.7,173.9,276,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,167,25,725,28,26,25,167,10,725,16,26,10,-9900,99,-9900,99,-9900,99,0.4,3,0.054,1,0.023,1,0.424,51,0.24,0
2010-01-01,13:00,78.9,187.9,273,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,164,25,719,28,25,25,164,10,719,16,25,10,-9900,99,-9900,99,-9900,99,0.4,51,0.054,1,0.023,1,0.425,51,0.24,0
2010-01-01,14:00,81.0,201.8,221,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,125,25,655,28,22,25,125,10,655,16,22,10,-9900,99,-9900,99,-9900,99,0.4,51,0.054,1,0.023,1,0.425,51,0.24,0
2010-01-01,15:00,85.0,215.1,124,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,59,25,499,28,16,25,59,10,499,16,16,10,-9900,99,-9900,99,-9900,99,0.5,3,0.054,1,0.023,1,0.426,51,0.24,0
2010-01-01,16:00,88.7,224.5,15,672,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,6,25,178,28,2,25,6,10,178,16,2,10,-9900,99,-9900,99,-9900,99,0.4,51,0.054,1,0.023,1,0.426,51,0.24,0
2010-01-01,17:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.4,51,0.054,1,0.023,1,0.427,51,0.24,0
2010-01-01,18:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.4,3,0.054,1,0.023,1,0.428,51,0.24,0
2010-01-01,19:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.4,51,0.054,1,0.023,1,0.428,51,0.24,0
2010-01-01,20:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.4,51,0.054,1,0.023,1,0.429,51,0.24,0
2010-01-01,21:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.4,3,0.054,1,0.023,1,0.430,51,0.24,0
2010-01-01,22:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.4,51,0.054,1,0.023,1,0.430,51,0.24,0
2010-01-01,23:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.4,51,0.054,1,0.023,1,0.431,51,0.24,0
2010-01-01,24:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.4,3,0.054,1,0.023,1,0.431,51,0.24,0
2010-01-02,1:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.4,51,0.055,1,0.023,1,0.432,2,0.24,0
2010-01-02,2:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.4,51,0.055,1,0.023,1,0.432,51,0.24,0
2010-01-02,3:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.5,3,0.055,1,0.023,1,0.431,51,0.24,0
2010-01-02,4:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.5,51,0.055,1,0.023,1,0.431,51,0.24,0
2010-01-02,5:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.5,51,0.055,1,0.023,1,0.430,51,0.24,0
2010-01-02,6:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.5,3,0.055,1,0.023,1,0.430,51,0.24,0
2010-01-02,7:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.5,51,0.055,1,0.023,1,0.429,51,0.24,0
2010-01-02,8:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.5,51,0.055,1,0.023,1,0.429,51,0.24,0
2010-01-02,9:00,88.3,136.2,25,861,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,8,25,147,28,4,25,8,10,147,16,4,10,-9900,99,-9900,99,-9900,99,0.5,3,0.055,1,0.043,1,0.428,51,0.24,0
2010-01-02,10:00,84.3,146.5,140,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,23,25,0,28,23,25,64,10,433,16,22,10,-9900,99,-9900,99,-9900,99,0.6,51,0.055,1,0.043,1,0.428,51,0.24,0
2010-01-02,11:00,80.6,159.9,232,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,125,25,584,28,29,25,125,10,584,16,29,10,-9900,99,-9900,99,-9900,99,0.6,51,0.055,1,0.043,1,0.427,51,0.24,0
2010-01-02,12:00,78.7,173.8,278,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,55,25,0,28,55,25,159,10,641,16,33,10,-9900,99,-9900,99,-9900,99,0.7,3,0.055,1,0.043,1,0.427,51,0.24,0
2010-01-02,13:00,78.8,187.8,275,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,54,25,0,28,54,25,156,10,636,16,32,10,-9900,99,-9900,99,-9900,99,0.8,51,0.055,1,0.043,1,0.426,51,0.24,0
2010-01-02,14:00,80.9,201.7,224,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,42,25,0,28,42,25,118,10,567,16,29,10,-9900,99,-9900,99,-9900,99,0.8,51,0.055,1,0.043,1,0.426,51,0.24,0
2010-01-02,15:00,84.8,215.0,127,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,21,25,0,28,21,25,56,10,401,16,20,10,-9900,99,-9900,99,-9900,99,0.9,3,0.055,1,0.043,1,0.425,51,0.24,0
2010-01-02,16:00,88.7,224.6,17,719,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,2,25,0,28,2,25,5,10,117,16,2,10,-9900,99,-9900,99,-9900,99,0.9,51,0.055,1,0.043,1,0.425,51,0.24,0
2010-01-02,17:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.9,51,0.055,1,0.043,1,0.424,51,0.24,0
2010-01-02,18:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.9,3,0.055,1,0.043,1,0.424,51,0.24,0
2010-01-02,19:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.9,51,0.055,1,0.043,1,0.423,51,0.24,0
2010-01-02,20:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.9,51,0.055,1,0.043,1,0.422,51,0.24,0
2010-01-02,21:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.9,3,0.055,1,0.043,1,0.422,51,0.24,0
2010-01-02,22:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.9,51,0.055,1,0.043,1,0.422,51,0.24,0
2010-01-02,23:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.9,51,0.055,1,0.043,1,0.421,51,0.24,0
2010-01-02,24:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.9,3,0.055,1,0.043,1,0.420,51,0.24,0
2010-01-03,1:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.9,51,0.056,1,0.043,1,0.420,2,0.24,0
2010-01-03,2:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.9,51,0.056,1,0.043,1,0.419,51,0.24,0
2010-01-03,3:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.9,3,0.056,1,0.043,1,0.418,51,0.24,0
2010-01-03,4:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.9,51,0.056,1,0.043,1,0.417,51,0.24,0
2010-01-03,5:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.0,51,0.056,1,0.043,1,0.416,51,0.24,0
2010-01-03,6:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.0,3,0.056,1,0.043,1,0.415,51,0.24,0
2010-01-03,7:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.0,51,0.056,1,0.043,1,0.415,51,0.24,0
2010-01-03,8:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.0,51,0.056,1,0.043,1,0.414,51,0.24,0
2010-01-03,9:00,88.4,136.0,25,884,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,3,25,0,28,3,25,6,10,84,16,4,10,-9900,99,-9900,99,-9900,99,1.0,3,0.056,1,0.069,1,0.413,51,0.24,0
2010-01-03,10:00,84.3,146.4,141,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,20,25,0,28,20,25,60,10,335,16,26,10,-9900,99,-9900,99,-9900,99,1.0,51,0.056,1,0.069,1,0.412,51,0.24,0
2010-01-03,11:00,80.5,159.8,233,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,39,25,0,28,39,25,118,10,494,16,37,10,-9900,99,-9900,99,-9900,99,1.0,51,0.056,1,0.069,1,0.411,51,0.24,0
2010-01-03,12:00,78.6,173.7,280,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,49,25,0,28,49,25,151,10,558,16,41,10,-9900,99,-9900,99,-9900,99,1.0,3,0.056,1,0.069,1,0.410,51,0.24,0
2010-01-03,13:00,78.7,187.7,278,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,48,25,0,28,48,25,150,10,555,16,40,10,-9900,99,-9900,99,-9900,99,1.0,51,0.056,1,0.069,1,0.409,51,0.24,0
2010-01-03,14:00,80.8,201.6,226,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,37,25,0,28,37,25,113,10,485,16,36,10,-9900,99,-9900,99,-9900,99,0.9,51,0.056,1,0.069,1,0.408,51,0.24,0
2010-01-03,15:00,84.7,214.9,130,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,19,25,0,28,19,25,54,10,314,16,25,10,-9900,99,-9900,99,-9900,99,0.9,3,0.056,1,0.069,1,0.407,51,0.24,0
2010-01-03,16:00,88.6,224.7,18,743,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,3,25,5,28,3,25,4,10,67,16,3,10,-9900,99,-9900,99,-9900,99,0.9,51,0.056,1,0.069,1,0.406,51,0.24,0
2010-01-03,17:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.9,51,0.056,1,0.069,1,0.405,51,0.24,0
2010-01-03,18:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.9,3,0.056,1,0.069,1,0.404,51,0.24,0
2010-01-03,19:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.9,51,0.056,1,0.069,1,0.404,51,0.24,0
2010-01-03,20:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.8,51,0.056,1,0.069,1,0.403,51,0.24,0
2010-01-03,21:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.8,3,0.056,1,0.069,1,0.402,51,0.24,0
2010-01-03,22:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.8,51,0.056,1,0.069,1,0.401,51,0.24,0
2010-01-03,23:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.8,51,0.056,1,0.069,1,0.400,51,0.24,0
2010-01-03,24:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.7,3,0.056,1,0.069,1,0.399,51,0.24,0
2010-01-04,1:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.7,51,0.057,1,0.069,1,0.398,2,0.24,0
2010-01-04,2:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.7,51,0.057,1,0.069,1,0.398,51,0.24,0
2010-01-04,3:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.7,3,0.057,1,0.069,1,0.397,51,0.24,0
2010-01-04,4:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.7,51,0.057,1,0.069,1,0.397,51,0.24,0
2010-01-04,5:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.7,51,0.057,1,0.069,1,0.397,51,0.24,0
2010-01-04,6:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.7,3,0.057,1,0.069,1,0.396,51,0.24,0
2010-01-04,7:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.6,51,0.057,1,0.069,1,0.396,51,0.24,0
2010-01-04,8:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.6,51,0.057,1,0.069,1,0.395,51,0.24,0
2010-01-04,9:00,88.3,135.8,26,884,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,8,25,152,28,4,25,8,10,152,16,4,10,-9900,99,-9900,99,-9900,99,0.5,3,0.057,1,0.043,1,0.395,51,0.24,0
2010-01-04,10:00,84.2,146.2,143,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,67,25,441,28,22,25,67,10,441,16,22,10,-9900,99,-9900,99,-9900,99,0.5,51,0.057,1,0.043,1,0.395,51,0.24,0
2010-01-04,11:00,80.4,159.6,235,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,129,25,595,28,30,25,129,10,595,16,30,10,-9900,99,-9900,99,-9900,99,0.5,51,0.057,1,0.043,1,0.394,51,0.24,0
2010-01-04,12:00,78.5,173.6,283,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,164,25,655,28,33,25,164,10,655,16,33,10,-9900,99,-9900,99,-9900,99,0.5,3,0.057,1,0.043,1,0.394,51,0.24,0
2010-01-04,13:00,78.6,187.7,281,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,163,25,653,28,33,25,163,10,653,16,33,10,-9900,99,-9900,99,-9900,99,0.5,51,0.057,1,0.043,1,0.394,51,0.24,0
2010-01-04,14:00,80.7,201.5,229,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,125,25,588,28,29,25,125,10,588,16,29,10,-9900,99,-9900,99,-9900,99,0.5,51,0.057,1,0.043,1,0.393,51,0.24,0
2010-01-04,15:00,84.6,214.9,133,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,61,25,425,28,21,25,61,10,425,16,21,10,-9900,99,-9900,99,-9900,99,0.5,3,0.057,1,0.043,1,0.393,51,0.24,0
2010-01-04,16:00,88.5,224.7,20,766,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,6,25,130,28,3,25,6,10,130,16,3,10,-9900,99,-9900,99,-9900,99,0.5,51,0.057,1,0.043,1,0.392,51,0.24,0
2010-01-04,17:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.5,51,0.057,1,0.043,1,0.392,51,0.24,0
2010-01-04,18:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.5,3,0.057,1,0.043,1,0.392,51,0.24,0
2010-01-04,19:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.5,51,0.057,1,0.043,1,0.391,51,0.24,0
2010-01-04,20:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.5,51,0.057,1,0.043,1,0.391,51,0.24,0
2010-01-04,21:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.5,3,0.057,1,0.043,1,0.391,51,0.24,0
2010-01-04,22:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.5,51,0.057,1,0.043,1,0.390,51,0.24,0
2010-01-04,23:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.5,51,0.057,1,0.043,1,0.390,51,0.24,0
2010-01-04,24:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.4,3,0.057,1,0.043,1,0.389,51,0.24,0
2010-01-05,1:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.5,51,0.058,1,0.043,1,0.389,2,0.24,0
2010-01-05,2:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.5,51,0.058,1,0.043,1,0.389,51,0.24,0
2010-01-05,3:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.5,3,0.058,1,0.043,1,0.389,51,0.24,0
2010-01-05,4:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.5,51,0.058,1,0.043,1,0.389,51,0.24,0
2010-01-05,5:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.5,51,0.058,1,0.043,1,0.389,51,0.24,0
2010-01-05,6:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.5,3,0.058,1,0.043,1,0.389,51,0.24,0
2010-01-05,7:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.5,51,0.058,1,0.043,1,0.389,51,0.24,0
2010-01-05,8:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.5,51,0.058,1,0.043,1,0.389,51,0.24,0
2010-01-05,9:00,88.3,135.6,27,908,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,5,25,40,28,4,25,5,10,40,16,4,10,-9900,99,-9900,99,-9900,99,0.5,3,0.058,1,0.109,1,0.389,51,0.24,0
2010-01-05,10:00,84.1,146.1,144,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,57,25,248,28,32,25,57,10,248,16,32,10,-9900,99,-9900,99,-9900,99,0.5,51,0.058,1,0.109,1,0.389,51,0.24,0
